claire@abberleycarefarm.co.uk , Abberley Care Farm Ltd
info@acornfarm.co.uk , Acorn Farm
No email found , Acton Scott Heritage Farm
info@aldermoorfarm.org.uk , Aldermoor Community Farm
j.needham@allhallows.org.uk , All Hallows Catholic College Farm
general@ameliatrust.org.uk , Amelia Trust Farm
admin@angliacarefarm.co.uk , Anglia Care Farm
aghalane@gmail.com , Annagh Social Farm
contact@appletreefarmservices.co.uk , Apple Tree Farm Services
jandawaters@aol.com , April’s Farm
rosie200926@yahoo.co.uk , Aughlish Social Farm
info@avenburycarefarm.com , Avenbury Care Farm
azoracommunityfarm@gmail.com , Azora Community Farm
farm@stpaulstrust.org.uk , Balsall Heath City Farm
benjaminmcnicholl@gmail.com , Barefoot Farming CIC
sharon@basilsfarm.org , Basils Farm
helen@bathcityfarm.org.uk , Bath City Farm
info@becksidecarefarm.co.uk , Beckside Care Farm
bedminsterdowncommunityfarm@outlook.com , Bedminster Down Community Farm
eshilling@willowbankeducation.co.uk , Bee Free on The Farm and Knowler Farm CIC
mazzotta@yahoo.com , Beetle Bank Social Farm
info@belmontfarm.co.uk , Belmont Childrens Farm
bigfishfarmcic@gmail.com , Big Fish Farm Community Interest Company
info@billquayfarm.org.uk , Bill Quay Community Farm
birdfarmcic@gmail.com , Bird Farm CIC
blackbarn@desirechange.org , Black Barn Farm
blackhaughcommunityfarm@gmail.com , Blackhaugh Community Farm
clare.gooden@groundwork.org.uk , Blackpool Community Farm
stuartwfoster@btinternet.com , Bland Close Farm
info@bosaverncommunityfarm.org.uk , Bosavern Community Farm
robin.asquith@cvt.org.uk , Botton Social Farm (Camphill Village Trust)
joewulff@ymail.com , Bowden Springs Farm
gemma.coar@hotmail.co.uk , Bradleys Farm
admin@bramblescarefarm.co.uk , Brambles Therapeutic Care Farm
info@bridgendfarmhouse.org.uk , Bridgend Farmhouse CBS
No email found , Bridie's Farm CIC (Glastonbury Food & Regenerative Farming Centre)
info@brighousedogfield.co.uk , Brighouse Wood Community Farm
info@brolay.co.uk , Brolay Care Farm
brooksfarm@capel.ac.uk , Brooks Farm
jackyharrison51@hotmail.com , Brynmawr Care Farm
burscoughcommunityfarm@gmail.com , Burscough Community Farm CIC
info@butterlopefarm.co.uk , Butterlope Farm
wellbeings@caerhugfarm.co.uk , Cae Rhug Holistic Farm
